Chromosome	Start	End	Strand	gene	locus_tag
chrII	283738	284271	+	POA1	YBR022W
chrII	284428	287925	-	CHS3	YBR023C
chrII	289445	290350	+	SCO2	YBR024W
chrII	290681	291865	-	OLA1	YBR025C
chrII	292877	294019	-	ETR1	YBR026C
chrII	294024	294356	-	YBR027C	YBR027C
chrII	294425	296002	-	YPK3	YBR028C
chrII	296369	297742	-	CDS1	YBR029C
chrII	298292	299950	+	RKM3	YBR030W
chrII	300166	301254	+	RPL4A	YBR031W
chrII	301519	301821	+	YBR032W	YBR032W
chrII	301944	304703	+	EDS1	YBR033W
chrII	304930	305976	-	HMT1	YBR034C
chrII	306269	306955	-	PDX3	YBR035C
chrII	307185	307345	-	SNR161	YNCB0009C
chrII	307587	308887	+	TLC1	YNCB0010W
chrII	309081	310313	-	CSG2	YBR036C
chrII	310565	311452	-	SCO1	YBR037C
chrII	311898	314789	+	CHS2	YBR038W
chrII	315575	316510	+	ATP3	YBR039W
chrII	316968	317864	+	FIG1	YBR040W
chrII	318266	320275	+	FAT1	YBR041W
chrII	320416	321609	-	CST26	YBR042C
chrII	321876	323945	-	QDR3	YBR043C
chrII	324341	326059	-	TCM62	YBR044C
chrII	326792	326865	-	YNCB0011C	YNCB0011C
chrII	328173	330092	-	GIP1	YBR045C
chrII	330507	331511	-	ZTA1	YBR046C
chrII	331833	332360	+	FMP23	YBR047W
chrII	332831	333812	+	RPS11B	YBR048W
chrII	334386	336818	-	REB1	YBR049C
chrII	337183	338199	-	REG2	YBR050C
chrII	338720	339352	-	RFS1	YBR052C
chrII	339675	340751	-	YBR053C	YBR053C
chrII	343101	344135	+	YRO2	YBR054W
chrII	344602	347301	-	PRP6	YBR055C
chrII	347603	347686	+	YNCB0012W	YNCB0012W
chrII	347879	349384	+	MRX18	YBR056W
chrII	350827	350898	+	YNCB0013W	YNCB0013W
chrII	351255	351455	+	MNC1	YBR056W-A
chrII	352193	353293	-	MUM2	YBR057C
chrII	353672	356017	-	UBP14	YBR058C
chrII	356324	356566	-	TSC3	YBR058C-A
chrII	356861	360187	-	AKL1	YBR059C
chrII	360652	362514	-	ORC2	YBR060C
chrII	364787	365719	-	TRM7	YBR061C
chrII	365976	366600	-	YBR062C	YBR062C
chrII	366970	368184	-	CNM1	YBR063C
chrII	368584	369678	-	ECM2	YBR065C
chrII	370037	370699	-	NRG2	YBR066C
chrII	372103	372735	-	TIP1	YBR067C
chrII	373861	375690	-	BAP2	YBR068C
chrII	376574	378433	-	TAT1	YBR069C
chrII	376610	378633	+	TBRT	YNCB0014W
chrII	379221	379934	-	ALG14	YBR070C
chrII	380411	381046	+	YBR071W	YBR071W
chrII	382030	382674	+	HSP26	YBR072W
chrII	382860	383021	-	YBR072C-A	YBR072C-A
chrII	383112	385988	+	RDH54	YBR073W
chrII	386286	389216	+	PFF1	YBR074W
chrII	390227	391291	+	ECM8	YBR076W
chrII	391805	392293	-	SLM4	YBR077C
chrII	393123	394742	+	ECM33	YBR078W
chrII	395383	398277	-	RPG1	YBR079C
chrII	398614	400890	-	SEC18	YBR080C
chrII	401253	405251	-	SPT7	YBR081C
chrII	405878	405949	+	YNCB0015W	YNCB0015W
chrII	405960	406031	+	YNCB0016W	YNCB0016W
chrII	406628	407169	-	UBC4	YBR082C
chrII	409169	410629	+	TEC1	YBR083W
chrII	411054	413981	+	MIS1	YBR084W
chrII	414186	415261	-	RPL19A	YBR084C-A
chrII	415983	416906	+	AAC3	YBR085W
chrII	418907	419164	-	YBR085C-A	YBR085C-A
chrII	420201	423041	-	IST2	YBR086C
chrII	423765	424829	+	RFC5	YBR087W
chrII	424990	425766	-	POL30	YBR088C
chrII	426190	426489	-	NHP6B	YBR089C-A
chrII	426333	427058	-	YBR090C	YBR090C
chrII	427155	427484	-	TIM12	YBR091C
chrII	427698	429101	-	PHO3	YBR092C
chrII	429548	430951	-	PHO5	YBR093C
chrII	432036	434297	+	PBY1	YBR094W
chrII	434406	435698	-	RXT2	YBR095C
chrII	436021	436713	+	YBR096W	YBR096W
chrII	436951	441315	+	VPS15	YBR097W
chrII	441515	443590	+	MMS4	YBR098W
chrII	443821	444693	-	FES1	YBR101C
chrII	445062	447323	-	EXO84	YBR102C
chrII	447709	449316	+	SIF2	YBR103W
chrII	449667	450656	+	YMC2	YBR104W
chrII	450881	451969	-	VID24	YBR105C
chrII	452658	453224	+	SND3	YBR106W
chrII	453793	454530	-	IML3	YBR107C
chrII	454822	457665	+	AIM3	YBR108W
chrII	457919	458362	-	CMD1	YBR109C
chrII	458872	460221	+	ALG1	YBR110W
chrII	461178	461873	-	YSA1	YBR111C
chrII	462139	462579	+	SUS1	YBR111W-A
chrII	462870	465770	-	CYC8	YBR112C
chrII	467248	469620	+	RAD16	YBR114W
chrII	469748	473926	-	LYS2	YBR115C
chrII	474392	476437	-	TKL2	YBR117C
chrII	477671	479047	+	TEF2	YBR118W
chrII	479338	480323	+	MUD1	YBR119W
chrII	480435	480923	-	CBP6	YBR120C
chrII	481364	483367	-	GRS1	YBR121C
chrII	483970	484503	-	MRPL36	YBR122C
chrII	484742	486691	-	TFC1	YBR123C
chrII	487199	488380	-	PTC4	YBR125C
chrII	488905	490392	-	TPS1	YBR126C
chrII	490850	491056	+	MEO1	YBR126W-A
chrII	491269	492822	-	VMA2	YBR127C
chrII	493081	494115	-	ATG14	YBR128C
chrII	494353	495339	-	OPY1	YBR129C
chrII	495592	496869	-	SHE3	YBR130C
chrII	497163	499277	+	CCZ1	YBR131W
chrII	499652	501442	-	AGP2	YBR132C
chrII	501804	504287	-	HSL7	YBR133C
chrII	504854	505306	+	CKS1	YBR135W
chrII	505668	512774	+	MEC1	YBR136W
chrII	513044	513583	+	YBR137W	YBR137W
chrII	513762	515336	-	YBR138C	YBR138C
chrII	515664	517190	+	ATG42	YBR139W
chrII	517350	526628	-	IRA1	YBR140C
chrII	527025	528038	-	BMT2	YBR141C
chrII	528317	530638	+	MAK5	YBR142W
chrII	530869	532182	-	SUP45	YBR143C
chrII	533235	533549	-	YBR144C	YBR144C
chrII	533762	534817	+	ADH5	YBR145W
chrII	535260	536096	+	MRPS9	YBR146W
chrII	536575	537465	+	RTC2	YBR147W
chrII	537876	539705	+	YSW1	YBR148W
chrII	539987	541021	+	ARA1	YBR149W
chrII	541209	544493	-	TBS1	YBR150C
chrII	545028	545978	+	APD1	YBR151W
chrII	546376	547251	+	SPP381	YBR152W
chrII	547460	548194	+	RIB7	YBR153W
chrII	548362	549009	-	RPB5	YBR154C
chrII	549771	550928	+	CNS1	YBR155W
chrII	551104	553200	-	SLI15	YBR156C
chrII	553543	554310	-	ICS2	YBR157C
chrII	556549	558198	+	AMN1	YBR158W
chrII	558685	559728	+	IFA38	YBR159W
chrII	560078	560974	+	CDC28	YBR160W
chrII	561634	562764	+	CSH1	YBR161W
chrII	563203	564570	-	TOS1	YBR162C
chrII	565231	565428	+	YSY6	YBR162W-A
chrII	565723	567480	+	EXO5	YBR163W
chrII	567875	568426	-	ARL1	YBR164C
chrII	568852	569685	+	UBS1	YBR165W
chrII	569842	571200	-	TYR1	YBR166C
chrII	571468	571890	-	POP7	YBR167C
chrII	572371	573612	+	PEX32	YBR168W
chrII	573915	575996	-	SSE2	YBR169C
chrII	576344	578086	-	NPL4	YBR170C
chrII	578364	578984	+	SEC66	YBR171W
chrII	579150	581372	-	SMY2	YBR172C
chrII	581726	582172	-	UMP1	YBR173C
chrII	582408	583355	+	SWD3	YBR175W
chrII	583720	584658	+	ECM31	YBR176W
chrII	584807	586162	-	EHT1	YBR177C
chrII	586547	589114	-	FZO1	YBR179C
chrII	589741	591459	+	DTR1	YBR180W
chrII	591712	592774	-	RPS6B	YBR181C
chrII	593506	594864	-	SMP1	YBR182C
chrII	595361	595555	-	YBR182C-A	YBR182C-A
chrII	596115	597065	+	YPC1	YBR183W
chrII	597363	598934	+	YBR184W	YBR184W
chrII	599123	599959	-	MBA1	YBR185C
chrII	600553	602360	+	PCH2	YBR186W
chrII	602634	603476	+	GDT1	YBR187W
chrII	603685	604107	-	NTC20	YBR188C
chrII	604508	605508	+	RPS9B	YBR189W
chrII	606270	607140	+	RPL21A	YBR191W
chrII	607652	608785	+	RIM2	YBR192W
chrII	609082	609753	-	MED8	YBR193C
chrII	610038	610409	+	AIM4	YBR194W
chrII	610614	611882	-	MSI1	YBR195C
chrII	612236	613900	-	PGI1	YBR196C
chrII	614024	614173	-	YBR196C-A	YBR196C-A
chrII	614526	614630	-	YBR196C-B	YBR196C-B
chrII	615203	615856	-	YBR197C	YBR197C
chrII	616127	618523	-	TAF5	YBR198C
chrII	618909	620303	+	KTR4	YBR199W
chrII	620872	622527	+	BEM1	YBR200W
chrII	622983	623147	+	YBR200W-A	YBR200W-A
chrII	623576	624211	+	DER1	YBR201W
chrII	624493	624696	-	MIN7	YBR201C-A
chrII	625772	628309	+	MCM7	YBR202W
chrII	629168	631942	+	COS111	YBR203W
chrII	632254	633381	-	LDH1	YBR204C
chrII	633622	634836	+	KTR3	YBR205W
chrII	635146	636543	+	FTH1	YBR207W
chrII	636703	642210	-	DUR12	YBR208C
chrII	642583	642900	+	YBR209W	YBR209W
chrII	643007	643078	-	YNCB0017C	YNCB0017C
chrII	645167	645238	+	YNCB0018W	YNCB0018W
chrII	645550	645978	+	ERV15	YBR210W
chrII	646158	647132	-	AME1	YBR211C
chrII	647886	649904	+	NGR1	YBR212W
chrII	650368	651192	+	MET8	YBR213W
chrII	651415	652998	+	SDS24	YBR214W
chrII	653356	655317	+	HPC2	YBR215W
chrII	655576	657600	-	YBP1	YBR216C
chrII	657832	658392	+	ATG12	YBR217W
chrII	658707	662249	-	PYC2	YBR218C
chrII	662499	663303	-	YBR219C	YBR219C
chrII	662995	664677	-	YBR220C	YBR220C
chrII	665153	666253	-	PDB1	YBR221C
chrII	666538	666642	+	YBR221W-A	YBR221W-A
chrII	666720	668351	-	PCS60	YBR222C
chrII	668663	670297	-	TDP1	YBR223C
chrII	670627	673329	+	YBR225W	YBR225W
chrII	673572	675134	-	MCX1	YBR227C
chrII	675313	676227	+	SLX1	YBR228W
chrII	676357	679221	-	ROT2	YBR229C
chrII	679549	680050	-	OM14	YBR230C
chrII	680362	680562	+	COQ21	YBR230W-A
chrII	680688	681862	-	LSR1	YNCB0019C
chrII	682179	683090	-	SWC5	YBR231C
chrII	683428	684669	+	PBP2	YBR233W
chrII	684977	685261	+	DAD3	YBR233W-A
chrII	685438	686592	-	ARC40	YBR234C
chrII	686901	690263	+	VHC1	YBR235W
chrII	690383	691693	-	ABD1	YBR236C
chrII	691969	694518	+	PRP5	YBR237W
chrII	695107	697302	-	YBR238C	YBR238C
chrII	698354	699943	-	ERT1	YBR239C
chrII	700490	701842	-	THI2	YBR240C
chrII	702589	704055	-	VVS1	YBR241C
chrII	704670	705386	+	YBR242W	YBR242W
chrII	705447	706793	-	ALG7	YBR243C
chrII	707528	708016	+	GPX2	YBR244W
chrII	708150	711539	-	ISW1	YBR245C
chrII	711591	712754	+	RRT2	YBR246W
chrII	713004	714455	-	ENP1	YBR247C
chrII	714807	716465	-	HIS7	YBR248C
chrII	716882	717994	-	ARO4	YBR249C
chrII	719033	720604	+	SPO23	YBR250W
chrII	721390	722313	+	MRPS5	YBR251W
chrII	722611	723054	+	DUT1	YBR252W
chrII	723270	723635	+	SRB6	YBR253W
chrII	723736	724263	-	TRS20	YBR254C
chrII	724456	726540	+	MTC4	YBR255W
chrII	726618	727074	-	RCF3	YBR255C-A
chrII	727386	728102	-	RIB5	YBR256C
chrII	728885	729724	+	POP4	YBR257W
chrII	729734	730162	-	SHG1	YBR258C
chrII	730387	732453	+	YBR259W	YBR259W
chrII	732639	734639	-	RGD1	YBR260C
chrII	734832	735530	-	TAE1	YBR261C
chrII	735720	736040	-	MIC12	YBR262C
chrII	736264	737736	+	SHM1	YBR263W
chrII	737770	738369	-	YPT10	YBR264C
chrII	738582	739544	+	TSC10	YBR265W
chrII	739841	741022	+	REI1	YBR267W
chrII	739936	740388	-	SLM6	YBR266C
chrII	741299	741616	+	MRPL37	YBR268W
chrII	742160	742576	-	SDH8	YBR269C
chrII	742761	744398	-	BIT2	YBR270C
chrII	744852	746111	+	EFM2	YBR271W
chrII	746361	747803	-	HSM3	YBR272C
chrII	748061	749371	-	UBX7	YBR273C
chrII	749594	751177	+	CHK1	YBR274W
chrII	751356	757106	-	RIF1	YBR275C
chrII	757620	760043	-	PPS1	YBR276C
chrII	760294	760899	+	DPB3	YBR278W
chrII	761257	762594	+	PAF1	YBR279W
chrII	762784	764697	-	SAF1	YBR280C
chrII	764970	767606	-	DUG2	YBR281C
chrII	768240	768680	+	MRPL27	YBR282W
chrII	768943	770415	-	SSH1	YBR283C
chrII	771239	773632	+	YBR284W	YBR284W
chrII	773922	774356	+	YBR285W	YBR285W
chrII	774700	776313	+	APE3	YBR286W
chrII	776571	777854	+	YBR287W	YBR287W
chrII	778012	779463	-	APM3	YBR288C
chrII	779667	782384	+	SNF5	YBR289W
chrII	782591	783556	+	BSD2	YBR290W
chrII	783673	784572	-	CTP1	YBR291C
chrII	784702	785073	-	YBR292C	YBR292C
chrII	787006	788430	+	VBA2	YBR293W
chrII	789235	791814	+	SUL1	YBR294W
chrII	792849	796499	+	PCA1	YBR295W
chrII	796798	798522	-	PHO89	YBR296C
chrII	800123	800242	-	TYC1	YBR296C-A
chrII	800523	801929	+	MAL33	YBR297W
chrII	802631	804475	-	MAL31	YBR298C
chrII	805035	805256	-	YBR298C-A	YBR298C-A
chrII	805351	807105	+	MAL32	YBR299W
chrII	809057	809419	+	PAU24	YBR301W
chrII	810340	811479	-	COS2	YBR302C
chrIII	2126	2566	+	YCL075W	YCL075W
chrIII	2824	3750	+	YCL074W	YCL074W
chrIII	6479	8326	-	GEX1	YCL073C
chrIII	9706	11082	+	VBA3	YCL069W
chrIII	11503	12285	-	YCL068C	YCL068C
chrIII	12386	13018	-	HMLALPHA2	YCL067C
chrIII	13282	13809	+	HMLALPHA1	YCL066W
chrIII	15798	16880	-	CHA1	YCL064C
chrIII	17290	18561	+	VAC17	YCL063W
chrIII	18816	22106	-	MRC1	YCL061C
chrIII	22429	23379	-	KRR1	YCL059C
chrIII	23523	23981	-	FYV5	YCL058C
chrIII	23584	23925	+	ADF1	YCL058W-A
chrIII	24032	24325	-	MIC10	YCL057C-A
chrIII	24768	26906	+	PRD1	YCL057W
chrIII	26925	27359	-	PEX34	YCL056C
chrIII	27929	28936	+	KAR4	YCL055W
chrIII	30910	30996	+	RDT1	YCL054W-A
chrIII	31449	33974	+	SPB1	YCL054W
chrIII	34143	35393	-	PBN1	YCL052C
chrIII	35865	37616	+	LRE1	YCL051W
chrIII	37836	38801	-	APA1	YCL050C
chrIII	39786	40724	-	YCL049C	YCL049C
chrIII	41488	41727	+	YCL048W-A	YCL048W-A
chrIII	42165	43556	+	SPS22	YCL048W
chrIII	43661	44437	-	POF1	YCL047C
chrIII	44623	46905	-	EMC1	YCL045C
chrIII	47111	48364	-	MGR1	YCL044C
chrIII	48653	50221	-	PDI1	YCL043C
chrIII	50584	50943	+	YCL042W	YCL042W
chrIII	50838	52340	+	GLK1	YCL040W
chrIII	52645	54882	+	GID7	YCL039W
chrIII	54941	56527	-	ATG22	YCL038C
chrIII	57374	58678	-	SRO9	YCL037C
chrIII	59026	60726	+	GFD2	YCL036W
chrIII	60841	61173	-	GRX1	YCL035C
chrIII	61658	62722	+	LSB5	YCL034W
chrIII	62776	63282	-	MXR2	YCL033C
chrIII	63441	64481	+	STE50	YCL032W
chrIII	64675	65568	-	RRP7	YCL031C
chrIII	65934	68333	-	HIS4	YCL030C
chrIII	68599	69921	-	BIK1	YCL029C
chrIII	70150	71367	+	RNQ1	YCL028W
chrIII	71803	73341	+	FUS1	YCL027W
chrIII	73405	73986	-	HBN1	YCL026C-B
chrIII	74704	75285	-	FRM2	YCL026C-A
chrIII	76018	77919	-	AGP1	YCL025C
chrIII	79162	82275	+	KCC4	YCL024W
chrIII	82462	82533	-	YNCC0001C	YNCC0001C
chrIII	83620	83997	+	YCL021W-A	YCL021W-A
chrIII	85102	90415	+	YCL019W	YCL019W
chrIII	85102	86418	+	YCL020W	YCL020W
chrIII	90859	90972	+	SUP53	YNCC0002W
chrIII	91324	92418	+	LEU2	YCL018W
