chr_id_short	Start	End	Strand	gene	locus_tag	Genbank ID	Chromosome	chr_length
chrI	158966	159793	+	SEN34	YAR008W	BK006935.2	NC_001133.9	230218
chrI	160597	164187	-	YAR009C	YAR009C	BK006935.2	NC_001133.9	230218
chrI	164544	165866	-	YAR010C	YAR010C	BK006935.2	NC_001133.9	230218
chrI	166267	166339	+	TGA1	YNCA0004W	BK006935.2	NC_001133.9	230218
chrI	166742	168871	-	BUD14	YAR014C	BK006935.2	NC_001133.9	230218
chrI	169375	170295	+	ADE1	YAR015W	BK006935.2	NC_001133.9	230218
chrI	170396	171703	-	KIN3	YAR018C	BK006935.2	NC_001133.9	230218
chrI	172211	175135	-	CDC15	YAR019C	BK006935.2	NC_001133.9	230218
chrI	176856	177023	-	PAU7	YAR020C	BK006935.2	NC_001133.9	230218
chrI	179281	179820	-	YAR023C	YAR023C	BK006935.2	NC_001133.9	230218
chrI	181141	181254	+	SUP56	YNCA0005W	BK006935.2	NC_001133.9	230218
chrI	182522	182603	-	YNCA0006C	YNCA0006C	BK006935.2	NC_001133.9	230218
chrI	183770	184477	+	UIP3	YAR027W	BK006935.2	NC_001133.9	230218
chrI	184892	185596	+	YAR028W	YAR028W	BK006935.2	NC_001133.9	230218
chrI	186321	186545	+	YAR029W	YAR029W	BK006935.2	NC_001133.9	230218
chrI	186836	187732	+	PRM9	YAR031W	BK006935.2	NC_001133.9	230218
chrI	188107	188811	+	MST28	YAR033W	BK006935.2	NC_001133.9	230218
chrI	190193	192256	+	YAT1	YAR035W	BK006935.2	NC_001133.9	230218
chrI	192337	192417	-	YAR035C-A	YAR035C-A	BK006935.2	NC_001133.9	230218
chrI	192619	196185	+	SWH1	YAR042W	BK006935.2	NC_001133.9	230218
chrI	203403	208016	+	FLO1	YAR050W	BK006935.2	NC_001133.9	230218
chrI	218140	219145	+	YAR061W	YAR061W	BK006935.2	NC_001133.9	230218
chrI	220198	220497	+	YAR064W	YAR064W	BK006935.2	NC_001133.9	230218
chrI	221049	221660	+	YAR066W	YAR066W	BK006935.2	NC_001133.9	230218
chrI	222406	222891	+	YAR068W	YAR068W	BK006935.2	NC_001133.9	230218
chrI	225460	226863	+	PHO11	YAR071W	BK006935.2	NC_001133.9	230218
chrII	280	2658	-	YBL113C	YBL113C	BK006936.2	NC_001134.8	813184
chrII	2582	2899	-	YBL112C	YBL112C	BK006936.2	NC_001134.8	813184
chrII	2907	5009	-	YBL111C	YBL111C	BK006936.2	NC_001134.8	813184
chrII	7605	7733	-	PAU9	YBL108C-A	BK006936.2	NC_001134.8	813184
chrII	9583	9666	+	YNCB0001W	YNCB0001W	BK006936.2	NC_001134.8	813184
chrII	9961	10551	-	MIX23	YBL107C	BK006936.2	NC_001134.8	813184
chrII	10847	13879	-	SRO77	YBL106C	BK006936.2	NC_001134.8	813184
chrII	14241	17696	-	PKC1	YBL105C	BK006936.2	NC_001134.8	813184
chrII	18177	21293	-	SEA4	YBL104C	BK006936.2	NC_001134.8	813184
chrII	22076	23536	-	RTG3	YBL103C	BK006936.2	NC_001134.8	813184
chrII	24098	24745	+	SFT2	YBL102W	BK006936.2	NC_001134.8	813184
chrII	24946	28299	-	ECM21	YBL101C	BK006936.2	NC_001134.8	813184
chrII	28427	28546	+	YBL100W-C	YBL100W-C	BK006936.2	NC_001134.8	813184
chrII	29935	35248	+	YBL100W-B	YBL100W-B	BK006936.2	NC_001134.8	813184
chrII	29935	31251	+	YBL100W-A	YBL100W-A	BK006936.2	NC_001134.8	813184
chrII	36398	36488	+	YNCB0002W	YNCB0002W	BK006936.2	NC_001134.8	813184
chrII	37053	38690	+	ATP1	YBL099W	BK006936.2	NC_001134.8	813184
chrII	39145	40527	+	BNA4	YBL098W	BK006936.2	NC_001134.8	813184
chrII	40831	43095	+	BRN1	YBL097W	BK006936.2	NC_001134.8	813184
chrII	43277	44089	+	MRX3	YBL095W	BK006936.2	NC_001134.8	813184
chrII	44256	44918	-	ROX3	YBL093C	BK006936.2	NC_001134.8	813184
chrII	45978	46370	+	RPL32	YBL092W	BK006936.2	NC_001134.8	813184
chrII	46565	47180	-	SCS22	YBL091C-A	BK006936.2	NC_001134.8	813184
chrII	47363	48628	-	MAP2	YBL091C	BK006936.2	NC_001134.8	813184
chrII	48825	49358	+	MRP21	YBL090W	BK006936.2	NC_001134.8	813184
chrII	49574	50953	+	AVT5	YBL089W	BK006936.2	NC_001134.8	813184
chrII	51019	59382	-	TEL1	YBL088C	BK006936.2	NC_001134.8	813184
chrII	59822	60739	-	RPL23A	YBL087C	BK006936.2	NC_001134.8	813184
chrII	61202	62602	-	YBL086C	YBL086C	BK006936.2	NC_001134.8	813184
chrII	63876	66818	+	BOI1	YBL085W	BK006936.2	NC_001134.8	813184
chrII	67169	69445	-	CDC27	YBL084C	BK006936.2	NC_001134.8	813184
chrII	69751	71127	-	ALG3	YBL082C	BK006936.2	NC_001134.8	813184
chrII	71866	72972	+	YBL081W	YBL081W	BK006936.2	NC_001134.8	813184
chrII	73070	74695	-	PET112	YBL080C	BK006936.2	NC_001134.8	813184
chrII	75259	79767	+	NUP170	YBL079W	BK006936.2	NC_001134.8	813184
chrII	80378	80731	-	ATG8	YBL078C	BK006936.2	NC_001134.8	813184
chrII	81043	84261	-	ILS1	YBL076C	BK006936.2	NC_001134.8	813184
chrII	84499	86448	-	SSA3	YBL075C	BK006936.2	NC_001134.8	813184
chrII	86722	87789	-	AAR2	YBL074C	BK006936.2	NC_001134.8	813184
chrII	88190	88277	+	SNR56	YNCB0003W	BK006936.2	NC_001134.8	813184
chrII	88523	89125	-	RPS8A	YBL072C	BK006936.2	NC_001134.8	813184
chrII	89458	89556	-	YBL071C-B	YBL071C-B	BK006936.2	NC_001134.8	813184
chrII	89978	90226	+	KTI11	YBL071W-A	BK006936.2	NC_001134.8	813184
chrII	90223	90531	-	YBL071C	YBL071C	BK006936.2	NC_001134.8	813184
chrII	90741	92030	+	AST1	YBL069W	BK006936.2	NC_001134.8	813184
chrII	92414	93394	+	PRS4	YBL068W	BK006936.2	NC_001134.8	813184
chrII	93639	95882	-	UBP13	YBL067C	BK006936.2	NC_001134.8	813184
chrII	96669	100115	-	SEF1	YBL066C	BK006936.2	NC_001134.8	813184
chrII	100371	101156	-	PRX1	YBL064C	BK006936.2	NC_001134.8	813184
chrII	101886	105221	+	KIP1	YBL063W	BK006936.2	NC_001134.8	813184
chrII	105316	107406	-	SKT5	YBL061C	BK006936.2	NC_001134.8	813184
chrII	107932	109995	+	YEL1	YBL060W	BK006936.2	NC_001134.8	813184
chrII	110125	110539	-	CMC2	YBL059C-A	BK006936.2	NC_001134.8	813184
chrII	110594	111244	+	IAI11	YBL059W	BK006936.2	NC_001134.8	813184
chrII	111437	112708	+	SHP1	YBL058W	BK006936.2	NC_001134.8	813184
chrII	112801	113427	-	PTH2	YBL057C	BK006936.2	NC_001134.8	813184
chrII	113762	115168	+	PTC3	YBL056W	BK006936.2	NC_001134.8	813184
chrII	115573	116829	-	YBL055C	YBL055C	BK006936.2	NC_001134.8	813184
chrII	117589	119166	+	TOD6	YBL054W	BK006936.2	NC_001134.8	813184
chrII	119379	121874	-	SAS3	YBL052C	BK006936.2	NC_001134.8	813184
chrII	122753	124759	-	PIN4	YBL051C	BK006936.2	NC_001134.8	813184
chrII	125125	126119	+	SEC17	YBL050W	BK006936.2	NC_001134.8	813184
chrII	126828	127244	+	MOH1	YBL049W	BK006936.2	NC_001134.8	813184
chrII	127299	127610	+	RRT1	YBL048W	BK006936.2	NC_001134.8	813184
chrII	127895	132040	-	EDE1	YBL047C	BK006936.2	NC_001134.8	813184
chrII	132424	133749	+	PSY4	YBL046W	BK006936.2	NC_001134.8	813184
chrII	134143	135516	-	COR1	YBL045C	BK006936.2	NC_001134.8	813184
chrII	135998	136366	+	YBL044W	YBL044W	BK006936.2	NC_001134.8	813184
chrII	136688	137461	+	ECM13	YBL043W	BK006936.2	NC_001134.8	813184
chrII	138341	140260	-	FUI1	YBL042C	BK006936.2	NC_001134.8	813184
chrII	141247	141972	+	PRE7	YBL041W	BK006936.2	NC_001134.8	813184
chrII	142112	142868	-	ERD2	YBL040C	BK006936.2	NC_001134.8	813184
chrII	143393	143572	+	MIN6	YBL039W-B	BK006936.2	NC_001134.8	813184
chrII	143989	145728	-	URA7	YBL039C	BK006936.2	NC_001134.8	813184
chrII	146187	146885	+	MRPL16	YBL038W	BK006936.2	NC_001134.8	813184
chrII	147209	150286	+	APL3	YBL037W	BK006936.2	NC_001134.8	813184
chrII	150447	151220	-	YBL036C	YBL036C	BK006936.2	NC_001134.8	813184
chrII	151493	153610	-	POL12	YBL035C	BK006936.2	NC_001134.8	813184
chrII	153848	158389	-	STU1	YBL034C	BK006936.2	NC_001134.8	813184
chrII	158656	159693	-	RIB1	YBL033C	BK006936.2	NC_001134.8	813184
chrII	160184	161329	+	HEK2	YBL032W	BK006936.2	NC_001134.8	813184
chrII	161699	162715	+	SHE1	YBL031W	BK006936.2	NC_001134.8	813184
chrII	163041	163997	-	PET9	YBL030C	BK006936.2	NC_001134.8	813184
chrII	164488	164772	-	YBL029C-A	YBL029C-A	BK006936.2	NC_001134.8	813184
chrII	166134	167264	+	YBL029W	YBL029W	BK006936.2	NC_001134.8	813184
chrII	167518	167838	-	YBL028C	YBL028C	BK006936.2	NC_001134.8	813184
chrII	168423	169376	+	RPL19B	YBL027W	BK006936.2	NC_001134.8	813184
chrII	170623	171038	+	LSM2	YBL026W	BK006936.2	NC_001134.8	813184
chrII	171481	171918	+	RRN10	YBL025W	BK006936.2	NC_001134.8	813184
chrII	172534	174588	+	NCL1	YBL024W	BK006936.2	NC_001134.8	813184
chrII	174920	177526	-	MCM2	YBL023C	BK006936.2	NC_001134.8	813184
chrII	177874	181275	-	PIM1	YBL022C	BK006936.2	NC_001134.8	813184
chrII	181660	182094	-	HAP3	YBL021C	BK006936.2	NC_001134.8	813184
chrII	182401	184125	+	RFT1	YBL020W	BK006936.2	NC_001134.8	813184
chrII	184353	185915	+	APN2	YBL019W	BK006936.2	NC_001134.8	813184
chrII	185998	186474	-	POP8	YBL018C	BK006936.2	NC_001134.8	813184
chrII	186844	191583	-	PEP1	YBL017C	BK006936.2	NC_001134.8	813184
chrII	192451	193512	+	FUS3	YBL016W	BK006936.2	NC_001134.8	813184
chrII	194122	195702	+	ACH1	YBL015W	BK006936.2	NC_001134.8	813184
chrII	197494	197567	+	YNCB0004W	YNCB0004W	BK006936.2	NC_001134.8	813184
chrII	197629	197699	-	YNCB0005C	YNCB0005C	BK006936.2	NC_001134.8	813184
chrII	199064	201748	-	RRN6	YBL014C	BK006936.2	NC_001134.8	813184
chrII	202056	203261	+	FMT1	YBL013W	BK006936.2	NC_001134.8	813184
chrII	203538	205817	+	SCT1	YBL011W	BK006936.2	NC_001134.8	813184
chrII	206107	206949	-	LAA2	YBL010C	BK006936.2	NC_001134.8	813184
chrII	207194	209224	+	ALK2	YBL009W	BK006936.2	NC_001134.8	813184
chrII	209409	209648	+	YBL008W-A	YBL008W-A	BK006936.2	NC_001134.8	813184
chrII	209653	212175	+	HIR1	YBL008W	BK006936.2	NC_001134.8	813184
chrII	212632	216366	-	SLA1	YBL007C	BK006936.2	NC_001134.8	813184
chrII	216587	217129	-	LDB7	YBL006C	BK006936.2	NC_001134.8	813184
chrII	217470	220400	+	PDR3	YBL005W	BK006936.2	NC_001134.8	813184
chrII	221330	226598	+	YBL005W-B	YBL005W-B	BK006936.2	NC_001134.8	813184
chrII	221330	222652	+	YBL005W-A	YBL005W-A	BK006936.2	NC_001134.8	813184
chrII	227075	227156	+	YNCB0006W	YNCB0006W	BK006936.2	NC_001134.8	813184
chrII	227636	235117	+	UTP20	YBL004W	BK006936.2	NC_001134.8	813184
chrII	235394	235792	-	HTA2	YBL003C	BK006936.2	NC_001134.8	813184
chrII	236492	236887	+	HTB2	YBL002W	BK006936.2	NC_001134.8	813184
chrII	237153	237467	-	ECM15	YBL001C	BK006936.2	NC_001134.8	813184
chrII	238941	241283	-	NTH2	YBR001C	BK006936.2	NC_001134.8	813184
chrII	241708	242568	-	RER2	YBR002C	BK006936.2	NC_001134.8	813184
chrII	242809	244230	+	COQ1	YBR003W	BK006936.2	NC_001134.8	813184
chrII	244366	245667	-	GPI18	YBR004C	BK006936.2	NC_001134.8	813184
chrII	245906	246547	+	RCR1	YBR005W	BK006936.2	NC_001134.8	813184
chrII	247010	248503	+	UGA2	YBR006W	BK006936.2	NC_001134.8	813184
chrII	248806	251016	-	DSF2	YBR007C	BK006936.2	NC_001134.8	813184
chrII	252563	254209	-	FLR1	YBR008C	BK006936.2	NC_001134.8	813184
chrII	255373	255684	-	HHF1	YBR009C	BK006936.2	NC_001134.8	813184
chrII	256331	256741	+	HHT1	YBR010W	BK006936.2	NC_001134.8	813184
chrII	257112	257975	-	IPP1	YBR011C	BK006936.2	NC_001134.8	813184
chrII	259869	265140	+	YBR012W-B	YBR012W-B	BK006936.2	NC_001134.8	813184
chrII	259869	261191	+	YBR012W-A	YBR012W-A	BK006936.2	NC_001134.8	813184
chrII	265492	265881	-	YBR013C	YBR013C	BK006936.2	NC_001134.8	813184
chrII	266378	266450	+	YNCB0007W	YNCB0007W	BK006936.2	NC_001134.8	813184
chrII	266725	267336	-	GRX7	YBR014C	BK006936.2	NC_001134.8	813184
chrII	267710	269503	-	MNN2	YBR015C	BK006936.2	NC_001134.8	813184
chrII	270247	270633	+	YBR016W	YBR016W	BK006936.2	NC_001134.8	813184
chrII	270947	273703	-	KAP104	YBR017C	BK006936.2	NC_001134.8	813184
chrII	274427	275527	-	GAL7	YBR018C	BK006936.2	NC_001134.8	813184
chrII	276253	278352	-	GAL10	YBR019C	BK006936.2	NC_001134.8	813184
chrII	276805	280645	+	YNCB0008W	YNCB0008W	BK006936.2	NC_001134.8	813184
chrII	279021	280607	+	GAL1	YBR020W	BK006936.2	NC_001134.8	813184
chrII	281443	283344	+	FUR4	YBR021W	BK006936.2	NC_001134.8	813184
chrII	283738	284271	+	POA1	YBR022W	BK006936.2	NC_001134.8	813184
chrII	284428	287925	-	CHS3	YBR023C	BK006936.2	NC_001134.8	813184
chrII	289445	290350	+	SCO2	YBR024W	BK006936.2	NC_001134.8	813184
chrII	290681	291865	-	OLA1	YBR025C	BK006936.2	NC_001134.8	813184
chrII	292877	294019	-	ETR1	YBR026C	BK006936.2	NC_001134.8	813184
chrII	294024	294356	-	YBR027C	YBR027C	BK006936.2	NC_001134.8	813184
chrII	294425	296002	-	YPK3	YBR028C	BK006936.2	NC_001134.8	813184
chrII	296369	297742	-	CDS1	YBR029C	BK006936.2	NC_001134.8	813184
chrII	298292	299950	+	RKM3	YBR030W	BK006936.2	NC_001134.8	813184
chrII	300166	301254	+	RPL4A	YBR031W	BK006936.2	NC_001134.8	813184
chrII	301519	301821	+	YBR032W	YBR032W	BK006936.2	NC_001134.8	813184
chrII	301944	304703	+	EDS1	YBR033W	BK006936.2	NC_001134.8	813184
chrII	304930	305976	-	HMT1	YBR034C	BK006936.2	NC_001134.8	813184
chrII	306269	306955	-	PDX3	YBR035C	BK006936.2	NC_001134.8	813184
chrII	307185	307345	-	SNR161	YNCB0009C	BK006936.2	NC_001134.8	813184
chrII	307587	308887	+	TLC1	YNCB0010W	BK006936.2	NC_001134.8	813184
chrII	309081	310313	-	CSG2	YBR036C	BK006936.2	NC_001134.8	813184
chrII	310565	311452	-	SCO1	YBR037C	BK006936.2	NC_001134.8	813184
chrII	311898	314789	+	CHS2	YBR038W	BK006936.2	NC_001134.8	813184
chrII	315575	316510	+	ATP3	YBR039W	BK006936.2	NC_001134.8	813184
chrII	316968	317864	+	FIG1	YBR040W	BK006936.2	NC_001134.8	813184
chrII	318266	320275	+	FAT1	YBR041W	BK006936.2	NC_001134.8	813184
chrII	320416	321609	-	CST26	YBR042C	BK006936.2	NC_001134.8	813184
chrII	321876	323945	-	QDR3	YBR043C	BK006936.2	NC_001134.8	813184
chrII	324341	326059	-	TCM62	YBR044C	BK006936.2	NC_001134.8	813184
chrII	326792	326865	-	YNCB0011C	YNCB0011C	BK006936.2	NC_001134.8	813184
chrII	328173	330092	-	GIP1	YBR045C	BK006936.2	NC_001134.8	813184
chrII	330507	331511	-	ZTA1	YBR046C	BK006936.2	NC_001134.8	813184
chrII	331833	332360	+	FMP23	YBR047W	BK006936.2	NC_001134.8	813184
chrII	332831	333812	+	RPS11B	YBR048W	BK006936.2	NC_001134.8	813184
chrII	334386	336818	-	REB1	YBR049C	BK006936.2	NC_001134.8	813184
chrII	337183	338199	-	REG2	YBR050C	BK006936.2	NC_001134.8	813184
chrII	338720	339352	-	RFS1	YBR052C	BK006936.2	NC_001134.8	813184
chrII	339675	340751	-	YBR053C	YBR053C	BK006936.2	NC_001134.8	813184
chrII	343101	344135	+	YRO2	YBR054W	BK006936.2	NC_001134.8	813184
chrII	344602	347301	-	PRP6	YBR055C	BK006936.2	NC_001134.8	813184
chrII	347603	347686	+	YNCB0012W	YNCB0012W	BK006936.2	NC_001134.8	813184
chrII	347879	349384	+	MRX18	YBR056W	BK006936.2	NC_001134.8	813184
chrII	350827	350898	+	YNCB0013W	YNCB0013W	BK006936.2	NC_001134.8	813184
chrII	351255	351455	+	MNC1	YBR056W-A	BK006936.2	NC_001134.8	813184
chrII	352193	353293	-	MUM2	YBR057C	BK006936.2	NC_001134.8	813184
chrII	353672	356017	-	UBP14	YBR058C	BK006936.2	NC_001134.8	813184
chrII	356324	356566	-	TSC3	YBR058C-A	BK006936.2	NC_001134.8	813184
chrII	356861	360187	-	AKL1	YBR059C	BK006936.2	NC_001134.8	813184
chrII	360652	362514	-	ORC2	YBR060C	BK006936.2	NC_001134.8	813184
chrII	364787	365719	-	TRM7	YBR061C	BK006936.2	NC_001134.8	813184
chrII	365976	366600	-	YBR062C	YBR062C	BK006936.2	NC_001134.8	813184
chrII	366970	368184	-	CNM1	YBR063C	BK006936.2	NC_001134.8	813184
chrII	368584	369678	-	ECM2	YBR065C	BK006936.2	NC_001134.8	813184
chrII	370037	370699	-	NRG2	YBR066C	BK006936.2	NC_001134.8	813184
chrII	372103	372735	-	TIP1	YBR067C	BK006936.2	NC_001134.8	813184
chrII	373861	375690	-	BAP2	YBR068C	BK006936.2	NC_001134.8	813184
chrII	376574	378433	-	TAT1	YBR069C	BK006936.2	NC_001134.8	813184
chrII	376610	378633	+	TBRT	YNCB0014W	BK006936.2	NC_001134.8	813184
chrII	379221	379934	-	ALG14	YBR070C	BK006936.2	NC_001134.8	813184
chrII	380411	381046	+	YBR071W	YBR071W	BK006936.2	NC_001134.8	813184
chrII	382030	382674	+	HSP26	YBR072W	BK006936.2	NC_001134.8	813184
chrII	382860	383021	-	YBR072C-A	YBR072C-A	BK006936.2	NC_001134.8	813184
chrII	383112	385988	+	RDH54	YBR073W	BK006936.2	NC_001134.8	813184
chrII	386286	389216	+	PFF1	YBR074W	BK006936.2	NC_001134.8	813184
chrII	390227	391291	+	ECM8	YBR076W	BK006936.2	NC_001134.8	813184
chrII	391805	392293	-	SLM4	YBR077C	BK006936.2	NC_001134.8	813184
chrII	393123	394742	+	ECM33	YBR078W	BK006936.2	NC_001134.8	813184
chrII	395383	398277	-	RPG1	YBR079C	BK006936.2	NC_001134.8	813184
chrII	398614	400890	-	SEC18	YBR080C	BK006936.2	NC_001134.8	813184
chrII	401253	405251	-	SPT7	YBR081C	BK006936.2	NC_001134.8	813184
chrII	405878	405949	+	YNCB0015W	YNCB0015W	BK006936.2	NC_001134.8	813184
chrII	405960	406031	+	YNCB0016W	YNCB0016W	BK006936.2	NC_001134.8	813184
chrII	406628	407169	-	UBC4	YBR082C	BK006936.2	NC_001134.8	813184
chrII	409169	410629	+	TEC1	YBR083W	BK006936.2	NC_001134.8	813184
chrII	411054	413981	+	MIS1	YBR084W	BK006936.2	NC_001134.8	813184
chrII	414186	415261	-	RPL19A	YBR084C-A	BK006936.2	NC_001134.8	813184
chrII	415983	416906	+	AAC3	YBR085W	BK006936.2	NC_001134.8	813184
chrII	418907	419164	-	YBR085C-A	YBR085C-A	BK006936.2	NC_001134.8	813184
chrII	420201	423041	-	IST2	YBR086C	BK006936.2	NC_001134.8	813184
chrII	423765	424829	+	RFC5	YBR087W	BK006936.2	NC_001134.8	813184
chrII	424990	425766	-	POL30	YBR088C	BK006936.2	NC_001134.8	813184
chrII	426190	426489	-	NHP6B	YBR089C-A	BK006936.2	NC_001134.8	813184
chrII	426333	427058	-	YBR090C	YBR090C	BK006936.2	NC_001134.8	813184
chrII	427155	427484	-	TIM12	YBR091C	BK006936.2	NC_001134.8	813184
chrII	427698	429101	-	PHO3	YBR092C	BK006936.2	NC_001134.8	813184
chrII	429548	430951	-	PHO5	YBR093C	BK006936.2	NC_001134.8	813184
chrII	432036	434297	+	PBY1	YBR094W	BK006936.2	NC_001134.8	813184
chrII	434406	435698	-	RXT2	YBR095C	BK006936.2	NC_001134.8	813184
chrII	436021	436713	+	YBR096W	YBR096W	BK006936.2	NC_001134.8	813184
chrII	436951	441315	+	VPS15	YBR097W	BK006936.2	NC_001134.8	813184
chrII	441515	443590	+	MMS4	YBR098W	BK006936.2	NC_001134.8	813184
chrII	443821	444693	-	FES1	YBR101C	BK006936.2	NC_001134.8	813184
chrII	445062	447323	-	EXO84	YBR102C	BK006936.2	NC_001134.8	813184
chrII	447709	449316	+	SIF2	YBR103W	BK006936.2	NC_001134.8	813184
chrII	449667	450656	+	YMC2	YBR104W	BK006936.2	NC_001134.8	813184
